,Denominación,Fecha de construcción,Número de compartimentos,Altura de agua(m),Capacidad(m³)
0,Santa Engracia,1879,2,6.84,188412
1,Islas Filipinas ,1915,4,6.84,463500
2,El Olivar,1919,2,3.96,44232
3,Plaza de Castilla ,1940,3,6.75,141432
4,Torrelaguna (Intermedio),1960,1,6.5,40000
5,Hortaleza ,1962,3,5,81000
6,Vallecas ,1967,6,8,153553
7,El Plantío ,1967,4,6.5,143176
8,El Goloso,1969,1,7.7,534355
9,Retamares ,1969,4,6.5,250556
10,Getafe ,1975,2,6.5,254897
11,Valmayor ,1975,2,5,95000
12,Tres Cantos ,1978,2,4.85,78624
13,Santillana,1982,2,5,20000
14,Majadahonda,1984,2,7.85,40000
15,Torrelaguna (Inferior),1989,1,4,72900
16,Valgallegos (La Cabrera),1990,2,4.4,20500
17,El Chaparral (Lozoya),1992,2,5,18000
18,La Jarosa (Origen),1992,2,3.5,18400
19,Navacerrada (Origen),1992,2,3.5,20000
20,Nuevo Portachuelo (Lozoyuela),1993,2,5,18000
21,Collado Villalba (Reunión),1994,2,9,37000
22,Nueva Arganda (Arganda 2),1994,2,3.53,18000
23,Chinchon ,2002,2,3.55,18000
24,Colmenar (Pinar),2003,2,5,120000
25,Valdemorrillo San Juan,2004,2,4.9,20000
26,Arganda (La Perlita),2007,2,3,18000
27,Griñón (Etap),2008,2,3.8,21000
28,Majadahonda 2,2009,2,7.85,60000
29,Miraflores (Soto II),2009,2,4.5,20000
30,Colmenar de Oreja (El Palomar),2010,2,5,22000
31,Aranjuez (La Montaña),2010,2,5,20000
32,Valmayor 2,2012,2,5,100000
33,Valdemoro,2014,2,5,30000
34,Galapagar (Dehesa Vieja),2016,2,5,20000
35,Algente Regulador,2017,1,5,35000
