,Cuencas,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,  Lozoya,40.5,54.7,57.2,33.9,48.2,48.7,40.2,49.2,21,33.8,51.2,50.7,53.9,49,42.2,32.2,36.7,44,35.2,40.2,52.6,28.5,28.9,32.3,40.3,36.2,51.1,39.4,42.4,50.7,41.0,46.3,46.3,43.2,41.6,47.1,47.1
1,  Jarama,22.9,21.4,17.9,27.8,15.6,13.9,18,10.2,15.6,15.1,12,19.2,16.7,19.4,13,17.1,15.5,10.9,18.7,16,5.3,20.7,20.5,15.6,11.5,26.6,17.8,7.5,24.3,14.5,18.6,17.1,10.7,19.8,18.4,23.3,23.3
2,  Manzanares,15.7,12.2,10.8,16.6,15.1,14.5,13.9,7.6,11.5,16.6,9.2,11.9,2.3,2.3,13.3,17.7,18.2,11,11.2,13.4,9.7,11.8,10.8,13.1,15.6,13.8,14.3,12.6,11.2,11.0,6.6,10.6,12.4,13.1,11.8,10.0,10.0
3,  Guadalix,6.3,1.3,2.4,6.4,5.5,7.7,9.7,1.3,8.7,13.5,5.1,4.5,6.2,7.9,2.4,4.5,7.6,2.9,9.1,6.6,2.5,6.7,6.9,5.6,6.8,8.5,4.5,5.8,4.4,5.9,14.3,5.2,6.0,4.2,4.7,2.3,2.3
4,  Guadarrama,12.9,7.7,6.4,12.4,13.7,15,14.6,2.7,4.3,17,12,9.4,16.7,15.4,14.5,27.6,21.3,30.3,25.1,23.2,29.2,31.7,32,32.6,25.1,14.2,11.6,33.8,17.0,17.2,18.8,20.2,23.8,19.3,22.9,16.8,16.8
5,  Cofio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.6,0.5,0.3,0.5,0.5,0.8,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,  Morales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,0.8,0.8
7,  Pozo de los Ramos (Sorbe),0,2.3,2.5,2.7,1.7,0.1,3.4,3.2,8.9,2.5,0.6,3,3.5,5.1,0.6,42.3,74.3,10.5,74,61.3,0,29.2,33.4,20,31.4,27.8,23.5,0.0,17.7,19.0,7.1,16.2,5.7,3.6,24.4,10.1,10.1
8,  La Parra,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0.1,1.7,0,3.9,6,0,0,1,0,0,0,0,1.4,0.1,0.0,0.0,0.0,0.0,2.1,7.7,1.2,1.7,1.7
9,  Picadas,0,0,2.8,0,0,0,0.1,19.3,19.5,1,0,0,0,0,0,0,0,0,0,0,0,15.8,61.6,78.2,60.9,55.3,51.1,66.8,46.6,52.1,75.8,70.9,87.4,77.1,65.4,84.7,84.7
10,  San Juan-Majadahonda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,  Aguas subterráneas,1.7,0.4,0,0.2,0.2,0.1,0.1,6.4,10.1,0.4,9.5,0.8,0.2,0.3,10.4,56,25.7,85.6,20,38.7,100,53.2,5,1.8,7.6,16.9,19.1,20.7,24.9,19.4,17.1,12.2,2.1,3.6,5.0,0.2,0.2
12,  ETAP Tajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,12.3,10.8,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
