,Año,Agua de salida de embalses y captaciones(Hm³)
0,2021,488.53
1,2020,488.27
2,2019,501.08
3,2018,479.871
4,2017,504.0
5,2016,491.475
6,2015,497.671063441859
7,2014,493.4343894630355
8,2013,496.848
9,2012,524.977
10,2011,540.895
11,2010,535.9701516634581
12,2009,554.846
13,2008,535.597
14,2007,544.393
15,2006,553.0
16,2005,610.0
17,2004,603.0
18,2003,607.3
19,2002,576.0
20,2001,562.0
21,2000,542.0
22,1999,537.0
23,1998,509.0
24,1997,492.0
25,1996,490.0
26,1995,496.0
27,1994,482.0
28,1993,476.0
