,Embalses,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Total agua embalsada,643.3,490,373.6,757.9,607.7,529.3,562.3,321.4,364.5,577.5,383.0,725.3,604.6,682.0,470.8,523.7,585.3,351.8,623.9,655.2,346.8,397.0,665.9,657.7,585.4,661.4,719.5,510.8,724.6,664.6,624.2,684.4,576.1,732.4,497.6,641.1,608.9
1,El Atazar,387.4,280,160.3,396.1,329.5,289.7,332.2,117.5,214.1,320.6,173.8,357.6,336.0,366.0,196.0,258.4,349.9,171.1,326.4,352.4,179.8,166.8,323.1,296.4,332.5,345.6,368.7,233.9,364.5,349.8,343.9,355.8,282.4,361.4,246.3,341.1,304.4
2,Valmayor,65.6,36,32.6,90.3,69.2,76.9,51.9,37,37.5,61.2,67.5,98.6,63.0,82.0,76.2,56.2,50.1,51.7,86.6,74.7,62.1,100.7,108.0,118.3,74.4,87.6,86.0,74.3,87.3,80.3,63.0,61.4,89.2,103.3,64.0,69.9,87.1
3,Santillana,68.7,40.4,47,70.1,66.1,62.2,66.6,44.2,30.8,54.2,24.6,62.8,77.3,76.2,47.8,26.4,53.2,21.7,62.1,60.2,25.1,36.8,68.9,64.6,49.3,52.8,66.5,44.7,70.3,62.7,49.9,63.7,50.0,66.0,34.3,61.7,54.2
4,El Vado (3),8.7,8.2,18.5,41.3,26.4,1.3,10.6,12.5,9.1,9.2,7.6,23.3,9.4,9.0,7.9,37.0,8.3,9.7,11.0,6.6,6.6,7.7,12.6,11.3,7.5,12.5,9.1,10.8,14.1,9.5,8.4,13.7,9.5,17.8,12.0,15.2,8.6
5,Puentes Viejas,34.3,46.5,30.2,33.8,29.8,32,5.1,8.7,1.2,25.1,34.3,47.7,32.1,42.3,39.4,36.9,26.7,19.5,37.1,41.5,4.3,22.1,28.6,33.3,2.2,39.9,41.8,40.7,45.3,36.7,42.4,42.3,31.3,43.3,42.9,37.1,34.2
6,Riosequillo,30.4,24.6,22.2,46.6,35,25,35.8,41.2,32.7,34.0,20.4,47.7,23.3,34.8,44.6,39.8,25.1,18.1,34.2,38.1,11.6,2.4,27.9,34.1,36.6,35.7,39.5,38.7,42.9,36.4,34.2,40.2,31.1,37.4,38.9,32.5,21.2
7,Pedrezuela,20.5,20.5,23.9,33.7,0,14,27.6,4.4,2.1,13.0,1.2,23.3,6.5,12.9,5.4,15.4,11.5,10.7,8.4,18.8,7.1,12.4,25.7,27.5,19.3,26.6,35.4,11.8,31.4,21.2,17.9,32.6,23.7,35.7,15.9,29.1,35.0
8,Pinilla,10.9,8,14.3,17.8,21.6,0.7,22.9,34.5,13,26.3,32.7,30.9,17.7,22.1,25.5,22.9,23.8,22.1,22.2,25.6,23.7,20.5,26.9,24.6,23.2,24.6,26.5,23.0,27.0,22.3,24.8,24.6,19.5,21.2,17.5,20.5,18.0
9,La Aceña (4),0,0,0,0,0,0,0,13,13.3,11.3,1.4,18.6,14.4,13.1,3.6,10.9,15.0,6.8,9.1,13.6,7.2,6.0,16.3,17.7,12.3,7.5,15.3,6.4,14.7,12.6,13.1,15.8,10.2,13.6,4.1,12.0,17.3
10,El Villar,7.9,22.3,18.6,14.7,21.1,22,2.9,0.1,0.1,11.9,17.7,4.1,13.6,10.3,15.2,12.4,14.3,13.5,16.8,12.6,12.9,13.9,15.2,17.6,19.5,19.3,20.8,18.5,15.6,21.2,16.2,21.5,20.5,21.6,17.1,15.5,21.0
11,Navacerrada,4.9,2,3,7.8,5.3,3.3,3.4,3.6,6.8,5.1,0.4,4.9,5.5,5.1,3.3,3.2,1.9,4.1,3.3,4.2,3.7,4.7,5.1,5.3,4.1,3.2,5.2,4.9,6.4,5.2,4.2,4.9,3.9,6.1,2.7,3.2,3.5
12,La Jarosa,3.8,1.4,2.7,5.1,3.4,2.1,3.2,4.1,3.2,4.7,0.9,3.5,3.8,5.9,4.5,3.2,3.6,1.3,4.7,4.8,1.9,2.4,5.8,5.6,3.7,4.8,4.5,2.7,4.9,4.3,5.1,5.6,3.5,4.7,1.6,3.1,4.1
13,Los Morales,0,0,0,0,0,0,0,0,0,0.6,0.2,1.8,1.8,2.0,0.9,0.5,1.7,1.1,1.7,1.6,0.5,0.4,1.2,1.0,0.4,1.0,0.0,0.0,0.0,1.7,0.8,1.6,0.9,0.0,0.0,0.0,0.0
14,Navalmedio,0.2,0.1,0.3,0.6,0.3,0.1,0.1,0.6,0.6,0.3,0.3,0.5,0.2,0.3,0.5,0.5,0.2,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.2,0.3,0.2
